Segment,Protein Name,Sequence Accession,Complete Genome,Segment Length,Subtype,Collection Date,Host Species,Country,State/Province,Flu Season,Strain Name,Curation Report
4,HA,CY021693,Yes,1727,H1N1,12-4-2000,IRD:Human,USA,Tennessee,-N/A-,A/Memphis/15/2000,Pass
4,HA,MN220702,Yes,1764,H1N1,12-4-2000,IRD:Human,USA,Unknown,-N/A-,A/USA/rWSN/2000,Pass
4,HA,CY000449,Yes,1778,H1N1,12-4-2000,IRD:Human,USA,New York,99-00,A/New York/146/2000,Pass
4,HA,CY002640,No,1748,H1N1,12/19/2000,IRD:Human,USA,New York,00-01,A/New York/233/2000,Pass
4,HA,CY020141,Yes,1732,H1N1,8-1-2001,IRD:Human,USA,Tennessee,-N/A-,A/Memphis/6/2001,Pass
4,HA,CY020149,Yes,1731,H1N1,8-1-2001,IRD:Human,USA,Tennessee,-N/A-,A/Memphis/7/2001,Pass
4,HA,CY019875,Yes,1733,H1N1,8-1-2001,IRD:Human,USA,Tennessee,-N/A-,A/Memphis/8/2001,Flag-CDS
4,HA,CY020261,Yes,1745,H1N1,8-1-2001,IRD:Human,USA,Tennessee,-N/A-,A/Memphis/1/2001,Pass
4,HA,CY002672,Yes,1763,H1N1,8-1-2001,IRD:Human,USA,New York,00-01,A/New York/310/2001,Pass
4,HA,CY001952,Yes,1754,H1N1,8-1-2001,IRD:Human,USA,New York,00-01,A/New York/205/2001,Pass
4,HA,CY009236,Yes,1744,H1N1,8-1-2001,IRD:Human,USA,New York,00-01,A/New York/441/2001,Pass
4,HA,CY003464,Yes,1748,H1N1,10-1-2001,IRD:Human,USA,New York,00-01,A/New York/442/2001,Pass
4,HA,CY002392,No,1757,H1N1,10-1-2001,IRD:Human,USA,New York,00-01,A/New York/343/2001,Pass
4,HA,CY002696,Yes,1736,H1N1,12-1-2001,IRD:Human,USA,New York,00-01,A/New York/312/2001,Pass
4,HA,CY006363,Yes,1775,H1N1,01/15/2001,IRD:Human,USA,New York,00-01,A/New York/303/2001,Pass
4,HA,CY003016,No,1748,H1N1,01/19/2001,IRD:Human,USA,New York,00-01,A/New York/246/2001,Pass
4,HA,CY003472,Yes,1775,H1N1,01/22/2001,IRD:Human,USA,New York,00-01,A/New York/443/2001,Pass
4,HA,CY003024,Yes,1756,H1N1,01/22/2001,IRD:Human,USA,New York,00-01,A/New York/341/2001,Pass
4,HA,CY006875,Yes,1735,H1N1,01/22/2001,IRD:Human,USA,New York,00-01,A/New York/309/2001,Pass
4,HA,CY003288,Yes,1748,H1N1,01/23/2001,IRD:Human,USA,New York,00-01,A/New York/444/2001,Pass
4,HA,CY003008,Yes,1727,H1N1,01/23/2001,IRD:Human,USA,New York,00-01,A/New York/241/2001,Pass
4,HA,CY010852,Yes,1731,H1N1,01/23/2001,IRD:Human,USA,New York,00-01,A/New York/235/2001,Pass
4,HA,CY006419,No,1740,H1N1,01/24/2001,IRD:Human,USA,New York,00-01,A/New York/212/2001,Flag-NCR
4,HA,CY006355,Yes,1748,H1N1,01/24/2001,IRD:Human,USA,New York,00-01,A/New York/242/2001,Pass
4,HA,CY003320,No,1747,H1N1,01/25/2001,IRD:Human,USA,New York,00-01,A/New York/342/2001,Pass
4,HA,CY003833,Yes,1774,H1N1,01/26/2001,IRD:Human,USA,New York,00-01,A/New York/445/2001,Pass
4,HA,CY003328,No,1727,H1N1,01/28/2001,IRD:Human,USA,New York,00-01,A/New York/346/2001,Pass
4,HA,CY003312,Yes,1748,H1N1,01/29/2001,IRD:Human,USA,New York,00-01,A/New York/302/2001,Pass
